index,phase,start_ts,end_ts,dur_us
0,SearchMusic(),694836939813,694836939831,18
1,SearchMusic(),694836939832,694836939833,1
2,SearchMusic(),694836939842,694836939842,0
3,SearchMusic(),694836939845,694836939845,0
4,LoadMusic(),694836946950,694836946953,3
5,LoadMusic(),694836956933,694836956936,3
6,LoadMusic(),694836966971,694836966976,5
7,LoadMusic(),694836976903,694836976907,4
8,LoadMusic(),694836986986,694836986989,3
9,LoadMusic(),694836996968,694836996974,6
10,LoadMusic(),694837006982,694837006985,3
11,LoadMusic(),694837016920,694837016925,5
12,LoadMusic(),694837026977,694837026981,4
13,LoadMusic(),694837036965,694837036971,6
14,LoadMusic(),694837046964,694837046967,3
15,LoadMusic(),694837057000,694837057005,5
16,LoadMusic(),694837067027,694837067033,6
17,LoadMusic(),694837076972,694837076977,5
18,LoadMusic(),694837087019,694837087025,6
19,LoadMusic(),694837097023,694837097030,7
20,LoadMusic(),694837107288,694837107300,12
21,LoadMusic(),694837117040,694837117047,7
22,LoadMusic(),694837126960,694837126965,5
23,LoadMusic(),694837137037,694837137043,6
24,LoadMusic(),694837147005,694837147010,5
25,LoadMusic(),694837157075,694837157082,7
26,LoadMusic(),694837167043,694837167050,7
27,LoadMusic(),694837177059,694837177067,8
28,LoadMusic(),694837187033,694837187041,8
29,LoadMusic(),694837197062,694837197069,7
30,LoadMusic(),694837206992,694837206998,6
31,LoadMusic(),694837217031,694837217037,6
32,LoadMusic(),694837226899,694837226903,4
33,LoadMusic(),694837236940,694837236944,4
34,LoadMusic(),694837246946,694837246951,5
35,LoadMusic(),694837256909,694837256914,5
36,LoadMusic(),694837266897,694837266900,3
37,LoadMusic(),694837277010,694837277013,3
38,LoadMusic(),694837287012,694837287016,4
39,LoadMusic(),694837296988,694837296992,4
40,LoadMusic(),694837306959,694837306963,4
41,LoadMusic(),694837316975,694837316979,4
42,LoadMusic(),694837326960,694837326964,4
43,LoadMusic(),694837336909,694837336911,2
44,LoadMusic(),694837346978,694837346981,3
45,LoadMusic(),694837356925,694837356929,4
46,LoadMusic(),694837366973,694837366975,2
47,LoadMusic(),694837376875,694837376879,4
48,LoadMusic(),694837386909,694837386914,5
49,LoadMusic(),694837396913,694837396929,16
50,LoadMusic(),694837406927,694837406931,4
