index,phase,start_ts,end_ts,dur_us
0,SearchMusic(),964867028976,964867028993,17
1,SearchMusic(),964867028994,964867028995,1
2,SearchMusic(),964867029001,964867029002,1
3,SearchMusic(),964867029004,964867029005,1
4,LoadMusic(),964867035981,964867035983,2
5,LoadMusic(),964867045970,964867045973,3
6,LoadMusic(),964867055932,964867055935,3
7,LoadMusic(),964867065957,964867065960,3
8,LoadMusic(),964867075978,964867075982,4
9,LoadMusic(),964867085939,964867085941,2
10,LoadMusic(),964867095940,964867095943,3
11,LoadMusic(),964867106023,964867106025,2
12,LoadMusic(),964867115972,964867115974,2
13,LoadMusic(),964867125944,964867125947,3
14,LoadMusic(),964867135924,964867135925,1
15,LoadMusic(),964867145912,964867145913,1
16,LoadMusic(),964867155921,964867155924,3
17,LoadMusic(),964867165931,964867165932,1
18,LoadMusic(),964867175933,964867175935,2
19,LoadMusic(),964867185937,964867185940,3
20,LoadMusic(),964867195943,964867195946,3
21,LoadMusic(),964867206014,964867206017,3
22,LoadMusic(),964867215925,964867215929,4
23,LoadMusic(),964867225978,964867225981,3
24,LoadMusic(),964867235921,964867235924,3
25,LoadMusic(),964867245928,964867245929,1
26,LoadMusic(),964867255934,964867255936,2
27,LoadMusic(),964867265926,964867265927,1
28,LoadMusic(),964867275932,964867275933,1
29,LoadMusic(),964867285935,964867285937,2
30,LoadMusic(),964867295930,964867295932,2
31,LoadMusic(),964867305924,964867305926,2
32,LoadMusic(),964867316010,964867316013,3
33,LoadMusic(),964867326045,964867326047,2
34,LoadMusic(),964867335988,964867336007,19
35,LoadMusic(),964867345962,964867345965,3
36,LoadMusic(),964867355944,964867355946,2
37,LoadMusic(),964867366029,964867366031,2
38,LoadMusic(),964867375990,964867375991,1
39,LoadMusic(),964867386006,964867386007,1
40,LoadMusic(),964867395925,964867395928,3
41,LoadMusic(),964867405921,964867405923,2
42,LoadMusic(),964867416049,964867416052,3
43,LoadMusic(),964867425969,964867425981,12
44,LoadMusic(),964867435957,964867435961,4
45,LoadMusic(),964867445953,964867445958,5
46,LoadMusic(),964867455916,964867455919,3
47,LoadMusic(),964867465927,964867465928,1
48,LoadMusic(),964867475934,964867475936,2
49,LoadMusic(),964867486104,964867486107,3
50,LoadMusic(),964867495919,964867495921,2
51,LoadMusic(),964867505932,964867505933,1
52,LoadMusic(),964867515929,964867515930,1
53,LoadMusic(),964867525932,964867525933,1
54,LoadMusic(),964867535936,964867535938,2
55,LoadMusic(),964867546004,964867546006,2
56,LoadMusic(),964867556003,964867556004,1
57,LoadMusic(),964867566008,964867566011,3
58,LoadMusic(),964867576097,964867576103,6
59,LoadMusic(),964867586180,964867586188,8
60,LoadMusic(),964867596900,964867596924,24
61,LoadMusic(),964867606493,964867606512,19
62,LoadMusic(),964867616456,964867616468,12
63,LoadMusic(),964867626497,964867626516,19
64,LoadMusic(),964867636162,964867636171,9
65,LoadMusic(),964867646064,964867646070,6
66,LoadMusic(),964867656054,964867656057,3
67,LoadMusic(),964867666096,964867666099,3
68,LoadMusic(),964867676056,964867676060,4
69,LoadMusic(),964867685955,964867685958,3
70,LoadMusic(),964867696045,964867696048,3
71,LoadMusic(),964867706026,964867706029,3
72,LoadMusic(),964867716138,964867716140,2
73,LoadMusic(),964867726001,964867726005,4
74,LoadMusic(),964867736010,964867736013,3
75,LoadMusic(),964867746008,964867746012,4
76,LoadMusic(),964867756104,964867756108,4
77,LoadMusic(),964867766244,964867766251,7
78,LoadMusic(),964867776449,964867776461,12
79,LoadMusic(),964867786585,964867786614,29
80,LoadMusic(),964867795990,964867795996,6
81,LoadMusic(),964867805993,964867806000,7
82,LoadMusic(),964867815996,964867816004,8
83,LoadMusic(),964867826012,964867826019,7
84,LoadMusic(),964867836020,964867836027,7
85,LoadMusic(),964867845977,964867845981,4
86,LoadMusic(),964867856015,964867856025,10
87,LoadMusic(),964867865988,964867865993,5
88,LoadMusic(),964867876017,964867876026,9
89,LoadMusic(),964867886002,964867886011,9
90,LoadMusic(),964867896013,964867896021,8
91,LoadMusic(),964867906005,964867906013,8
92,LoadMusic(),964867916016,964867916019,3
